Name_1,Name_2,Ethnicon,Characterization,Note,Speech,Book,Casaubon_Reference,Kaibel_Reference,Note_Reference,Is_Range
AEMILIANVS,Maurus,,grammaticus,,,1,1.1c,1.1@1.2,"cf. praef. I p. vi",
AEMILIANVS,,,"μουσικῆς ἐραστής",,,14,14.634c,14.35,,
AEMILIANVS,,,,,loquitur,3,3.83b,3.25,,"range start"
AEMILIANVS,,,,,loquitur,3,3.83c,3.25,,"range end"
AEMILIANVS,,,,,loquitur,3,3.126b,3.100,,"range start"
AEMILIANVS,,,,,loquitur,3,3.126c,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126d,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126e,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126f,3.100@3.101,,"range end"
AEMILIANVS,,,,,loquitur,3,3.127a,3.101,,
AEMILIANVS,,,,,loquitur,3,3.127b,3.101,,"range start"
AEMILIANVS,,,,,loquitur,3,3.127c,3.101,,range
AEMILIANVS,,,,,loquitur,3,3.127d,3.101,,"range end"
AEMILIANVS,,,,,loquitur,4,4.169a,4.67,?,"range start"
AEMILIANVS,,,,,loquitur,4,4.169b,4.67@4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169c,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169d,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169e,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169f,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.170a,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170b,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170c,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170d,4.69@4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.170e,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.170f,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.171a,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.171b,4.70@4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171c,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171d,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171e,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171f,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.172a,4.71@4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172b,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172c,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172d,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172e,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172f,4.72@4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173a,4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173b,4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173c,4.73@4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173d,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173e,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173f,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.174a,4.74@4.75,?,"range end"
AEMILIANVS,,,,,loquitur,6,6.228e,6.14,,"range start"
AEMILIANVS,,,,,loquitur,6,6.228f,6.14,,range
AEMILIANVS,,,,,loquitur,6,6.229a,6.14,,range
AEMILIANVS,,,,,loquitur,6,6.229b,6.14@6.15,,range
AEMILIANVS,,,,,loquitur,6,6.229c,6.15,,range
AEMILIANVS,,,,,loquitur,6,6.229d,6.15@6.16,,range
AEMILIANVS,,,,,loquitur,6,6.229e,6.16,,range
AEMILIANVS,,,,,loquitur,6,6.229f,6.16,,range
AEMILIANVS,,,,,loquitur,6,6.230a,6.16@6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230b,6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230c,6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230d,6.17@6.18,,range
AEMILIANVS,,,,,loquitur,6,6.230e,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.230f,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.231a,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.231b,6.18@6.19,,"range end"
AEMILIANVS,,,,,loquitur,9,9.405d,9.69@9.70,,
AEMILIANVS,,,,,loquitur,9,9.406a,9.70,,
AEMILIANVS,,,,,loquitur,10,10.448b,10.68@10.69,,
AEMILIANVS,,,,,loquitur,14,14.634b,14.34@14.35,,"range start"
AEMILIANVS,,,,,loquitur,14,14.634c,14.35,,range
AEMILIANVS,,,,,loquitur,14,14.634d,14.35,,range
AEMILIANVS,,,,,loquitur,14,14.634e,14.35@14.36,,"range end"
AEMILIANVS,,,,,loquitur,14,14.662f,14.83,,"range start"
AEMILIANVS,,,,,loquitur,14,14.663a,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663b,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663c,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663d,14.83@14.84,,range
AEMILIANVS,,,,,loquitur,14,14.663e,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.663f,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664a,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664b,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664c,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664d,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664e,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664f,14.84,,"range end"
