Name,Ethnicon_1,Ethnicon_2,Ethnicon_3,Characterization,Note,Work,Sub_Work,Note_Work,Passage,Book,Casaubon_Reference,Kaibel_Reference,Asterisk,Note_Reference,Is_Range
ACESIAS,,,,,"v.l. Ἀκέστιος",Ὀψαρτυτικά,,,,12,12.516c,12.11@12.12,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 3",10,10.417f,10.11,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 3",10,10.418a,10.11,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 5",15,15.689b,15.38@15.39,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 6",6,6.270b,6.99,,,"range start"
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 6",6,6.270c,6.99,,,"range end"
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 7",9,9.368a,9.5,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 8",9,9.376a,9.18,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 9",10,10.427c,10.29@10.30,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 10",15,15.690b,15.41,,,
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 12",4,4.173c,4.73@4.74,,,"range start"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 12",4,4.173d,4.74,,,"range end"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 13",4,4.173d,4.74,,,"range start"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 13",4,4.173e,4.74,,,"range end"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 14",11,11.480f,11.61,,,
