"ACESIAS","","","","","v.l. Ἀκέστιος","Ὀψαρτυτικά","","","","12","12.516c","","",""
"ACHAEVS","Eretriensis","","","","","Ἆθλα","","","fr. 3","10","10.417f","","",""
"ACHAEVS","Eretriensis","","","","","Ἆθλα","","","fr. 3","10","10.418a","","",""
"ACHAEVS","Eretriensis","","","","","Ἆθλα","","","fr. 5","15","15.689b","","",""
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 6","6","6.270b","","","range start"
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 6","6","6.270c","","","range end"
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 7","9","9.368a","","",""
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 8","9","9.376a","","",""
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 9","10","10.427c","","",""
"ACHAEVS","Eretriensis","","","","","Αἴθων σατυρικός","","","fr. 10","15","15.690b","","",""
"ACHAEVS","Eretriensis","","","","","Ἀλκμαίων σατυρικός","","","fr. 12","4","4.173c","","","range start"
"ACHAEVS","Eretriensis","","","","","Ἀλκμαίων σατυρικός","","","fr. 12","4","4.173d","","","range end"
"ACHAEVS","Eretriensis","","","","","Ἀλκμαίων σατυρικός","","","fr. 13","4","4.173d","","","range start"
"ACHAEVS","Eretriensis","","","","","Ἀλκμαίων σατυρικός","","","fr. 13","4","4.173e","","","range end"
"ACHAEVS","Eretriensis","","","","","Ἀλκμαίων σατυρικός","","","fr. 14","11","11.480f","","",""
"ACHAEVS","Eretriensis","","","","","Ἥφαιστος","","","fr. 17","14","14.641d","","",""
"ACHAEVS","Eretriensis","","","","","Ἶρις σατυρική","","","fr. 19","10","10.451c","","","range start"
"ACHAEVS","Eretriensis","","","","","Ἶρις σατυρική","","","fr. 19","10","10.451d","","","range end"
"ACHAEVS","Eretriensis","","","","","Κύκνος","","","fr. 25","6","6.270e","","",""
"ACHAEVS","Eretriensis","","","","","Λίνος","","","fr. 26","15","15.668a","","","range start"
"ACHAEVS","Eretriensis","","","","","Λίνος","","","fr. 26","15","15.668b","","","range end"
"ACHAEVS","Eretriensis","","","","","Μοῖραι","","","fr. 27","7","7.277b","","",""
"ACHAEVS","Eretriensis","","","","","Ὀμφάλη","","","fr. 32","6","6.267d","","",""
"ACHAEVS","Eretriensis","","","","","Ὀμφάλη","","","fr. 33","11","11.466e","","","range start"
"ACHAEVS","Eretriensis","","","","","Ὀμφάλη","","","fr. 33","11","11.466f","","","range end"
"ACHAEVS","Eretriensis","","","","","Ὀμφάλη","","","fr. 33","11","11.498d","","","range start"
"ACHAEVS","Eretriensis","","","","","Ὀμφάλη","","","fr. 33","11","11.498e","","","range end"
"ACHAEVS","Eretriensis","","","","","fab. inc.","","","fr. 4","10","10.414c","","","range start"
"ACHAEVS","Eretriensis","","","","","fab. inc.","","","fr. 4","10","10.414d","","","range end"
"ACHAEVS","Eretriensis","","","","","fab. inc.","","","fr. 39","1","1.31a","","",""
"ACHAEVS","Eretriensis","","","","","fab. inc.","","","fr. 40","2","2.63b","","",""
"ADAEVS","Mitylenaeus (13.606a)","","","","","ἐν τοῖς περὶ Διαθέσεως","","","","11","11.471f","","",""
"ADAEVS","Mitylenaeus (13.606a)","","","","","ἐν τῷ περὶ Ἀγαλματοποιῶν","","","","13","13.606a","","",""
