Name,Ethnicon,Characterization,Note,Work,Sub_Work,Book,Casaubon_Reference,Kaibel_Reference,Note_Reference,Is_Range
Acesias,,,,Ὀψαρτυτικά,,12,12.516c,12.11@12.12,,
Acestius,,,,Ὀψαρτυτικά,,12,12.516c,12.11@12.12,,
Achaeus,Eretriensis,,,,,1,1.30f,1.56,,
Achaeus,Eretriensis,,,,,2,2.63b,2.63,,
Achaeus,Eretriensis,,,,,6,6.270e,6.99@6.100,,
Achaeus,Eretriensis,,,,,10,10.414e,10.7,,
Achaeus,Eretriensis,,,,,11,11.480f,11.61,,
Achaeus,Eretriensis,"ὁ τραγικός",,,,11,11.466e,11.30,,
Achaeus,Eretriensis,,,Ἆθλοι,,10,10.417f,10.11,,
Achaeus,Eretriensis,,,Ἆθλοι,,15,15.689b,15.38@15.39,,
Achaeus,Eretriensis,,,"Αἴθων σατυρικός",,6,6.270c,6.99,,
Achaeus,Eretriensis,,,"Αἴθων σατυρικός",,9,9.368a,9.5,,
Achaeus,Eretriensis,,,"Αἴθων σατυρικός",,9,9.376a,9.18,,
Achaeus,Eretriensis,,,"Αἴθων σατυρικός",,10,10.427c,10.29@10.30,,
Achaeus,Eretriensis,,,"Αἴθων σατυρικός",,15,15.690b,15.41,,
Achaeus,Eretriensis,,,"Ἀλκμαίων ὁ σατυρικός",,4,4.173d,4.74,,
Achaeus,Eretriensis,,,"Ἀλκμαίων ὁ σατυρικός",,4,4.173e,4.74,,
Achaeus,Eretriensis,,,"Ἀλκμαίων ὁ σατυρικός",,11,11.480f,11.61,,
Achaeus,Eretriensis,,,"Ἥφαιστος σατυρικός",,14,14.637c,14.41,,
Achaeus,Eretriensis,,,"Ἰρις σατυρική",,10,10.451c,10.74,,
Achaeus,Eretriensis,,,Κύκνος,,6,6.270e,6.99@6.100,,
Achaeus,Eretriensis,,,Λίνος,,15,15.668a,15.6,,
Achaeus,Eretriensis,,,Μοῖραι,,7,7.277b,7.5,,
Achaeus,Eretriensis,,,Ὀμφάλη,,6,6.267d,6.93,,
Achaeus,Eretriensis,,,Ὀμφάλη,,11,11.466e,11.30,,"range start"
Achaeus,Eretriensis,,,Ὀμφάλη,,11,11.466f,11.30,,"range end"
Achaeus,Eretriensis,,,Ὀμφάλη,,11,11.498d,11.99,,
Adaeus,Mytilenaeus,,,,,13,13.606a,13.84,,
Adaeus,Mytilenaeus,,,"περὶ διαθέσεως",,11,11.471f,11.42@11.43,,
Adaeus,Mytilenaeus,,,"περὶ ἀγαλματοποιῶν",,13,13.606a,13.84,,
Adrantus,,,,"περὶ τῶν παρὰ Θεοφράστῳ ἐν τοῖς περὶ ἠθῶν καθ’ ἱστορίαν καὶ λέξιν ζητουμένων",,15,15.673e,15.15,,
Adrantus,,,,"περὶ τῶν ἐν τοῖς Ἠθικοῖς Νικομαχείοις Ἀριστοτέλους",,15,15.673e,15.15,,"range start"
Adrantus,,,,"περὶ τῶν ἐν τοῖς Ἠθικοῖς Νικομαχείοις Ἀριστοτέλους",,15,15.673f,15.15,,"range end"
Aegimius,,,,"Πλακουντοποιικὰ συγγράμματα",,14,14.644e,14.52,,
"Aelius Asclepiades",,,,Στέφανοι,,15,15.676f,15.19,679b,
Aeschines,,orator,"ὁ Κοθωκίδης ῥήτωρ",,,6,6.223d,6.2@6.3,,
Aeschines,,orator,,"κατὰ Τιμάρχου λόγος",,8,8.339b,8.21@8.22,,
Aeschines,,orator,,"κατὰ Τιμάρχου λόγος",,13,13.572c,13.30,,
Aeschines,,Socraticus,,"eius dialogi",,13,13.611d,13.93,,
Aeschines,,Socraticus,,Ἀλκιβιάδης,,14,14.656f,14.74,,
Aeschines,,Socraticus,,Ἀξίοχος,,5,5.220c,5.62@5.63,,
Aeschines,,Socraticus,,Ἀσπασία,,5,5.220b,5.62,,
Aeschines,,Socraticus,,Καλλίας,,5,5.220b,5.62,,
Aeschines,,Socraticus,,Τηλαύγης,,5,5.220a,5.61@5.62,,
Aeschrio,Samius,,,Ἴαμβοι,,7,7.296c,7.47,,
Aeschrio,Samius,,,Ἴαμβοι,,8,8.335c,8.13,,
Aeschylides,,,,Γεωργικά,,14,14.650d,14.63,,
Aeschylus,Alexandrinus,,,Ἀμφιτρύων,,13,13.599e,13.72,,
Aeschylus,Alexandrinus,,,"Μεσσηνιακὰ ἔπη",,13,13.599e,13.72,,
Aeschylus,Atheniensis,tragicus,,,,1,1.11d,1.19,,
Aeschylus,Atheniensis,tragicus,,,,1,1.17c,1.29@1.30,,
Aeschylus,Atheniensis,tragicus,,,,1,1.21f,1.39,,
Aeschylus,Atheniensis,tragicus,,,,2,2.37f,2.6,,
Aeschylus,Atheniensis,tragicus,,,,2,2.67f,2.76@2.77,"II c. 87 p. 130 ed. nostrae",
Aeschylus,Atheniensis,tragicus,,,,8,8.362f,8.64,,
Aeschylus,Atheniensis,tragicus,,,,9,9.375d,9.17,,
Aeschylus,Atheniensis,tragicus,,,,9,9.375e,9.17,,
Aeschylus,Atheniensis,tragicus,,,,11,11.782e,11.22,,
Aeschylus,Atheniensis,tragicus,,,,11,11.491a,11.80,,
Aeschylus,Atheniensis,tragicus,,,,12,12.528c,12.36@12.37,,
Aeschylus,Atheniensis,tragicus,,,,13,13.573b,13.31@13.32,,
Aeschylus,Atheniensis,tragicus,,,,13,13.601b,13.75@13.76,,
Aeschylus,Atheniensis,,,Ἀγαμέμνων,,15,15.700e,15.60,,
Aeschylus,Atheniensis,,,Ἀθάμας,,7,7.316b,7.100,,
Aeschylus,Atheniensis,,,Ἀμυμώνη,,15,15.690c,15.41,,
Aeschylus,Atheniensis,,,"Γλαῦκος πόντιος",,3,3.87a,3.33,,
Aeschylus,Atheniensis,,,Δαναΐδες,,13,13.600a,13.73,,
Aeschylus,Atheniensis,,,"Ἑπτὰ ἐπὶ Θήβαις",,1,1.22a,1.39,"ubi Θήβας",
Aeschylus,Atheniensis,,,"Ἑπτὰ ἐπὶ Θήβαις",,7,7.294a,7.42,,
Aeschylus,Atheniensis,,,"Ἑπτὰ ἐπὶ Θήβαις",,7,7.295e,7.46,,
Aeschylus,Atheniensis,,,Ἠδωνοί,,11,11.479b,11.57,,
Aeschylus,Atheniensis,,,Ἡλιάδες,,10,10.424d,10.23@10.24,,
Aeschylus,Atheniensis,,,Ἡλιάδες,,11,11.469f,11.38@11.39,,
Aeschylus,Atheniensis,,,Θεωροί,,14,14.629f,14.27,,
Aeschylus,Atheniensis,,,Ἰξίων,,4,4.177a,4.79,,
Aeschylus,Atheniensis,,,Ἰξίων,,4,4.182c,4.79@4.80,,
Aeschylus,Atheniensis,,,Κάβειροι,,9,9.373d,9.15,,
Aeschylus,Atheniensis,,,Κάβειροι,,10,10.428f,10.33,,
Aeschylus,Atheniensis,,,Κρῆσσαι,,2,2.51c,2.36,,
Aeschylus,Atheniensis,,,Λυκοῦργος,,10,10.447c,10.67,,
Aeschylus,Atheniensis,,,Μυρμιδόνες,,13,13.602e,13.79,,
Aeschylus,Atheniensis,,,Νεανίσκοι,,11,11.503c,11.109,,
Aeschylus,Atheniensis,,,Νεανίσκοι,,11,11.503d,11.109@11.110,,
Aeschylus,Atheniensis,,,Ὀστολόγοι,,15,15.667c,15.5,,
Aeschylus,Atheniensis,,,Περραιβίδες,,11,11.476c,11.51,,
Aeschylus,Atheniensis,,,Περραιβίδες,,11,11.499a,11.99,,
Aeschylus,Atheniensis,,,Πέρσαι,,3,3.86b,3.31@3.32,,
Aeschylus,Atheniensis,,,"Προμηθεὺς δεσμώτης",,4,4.165c,4.59,,
Aeschylus,Atheniensis,,,"Προμηθεὺς δεσμώτης",,8,8.347c,8.38,,
Aeschylus,Atheniensis,,,"Προμηθεὺς λυόμενος",,15,15.674d,15.16,,
Aeschylus,Atheniensis,,,"Πρωτεὺς τραγικός",,9,9.394a,9.50,,
Aeschylus,Atheniensis,,,Σφίγξ,,15,15.674d,15.16,,
Aeschylus,Atheniensis,,,Φιλοκτήτης,,9,9.394a,9.50,,
Aeschylus,Atheniensis,,,Φινεύς,,10,10.421f,10.18,,
Aeschylus,Atheniensis,,,Φορκίδες,,9,9.402b,9.65,,
Aeschylus,Atheniensis,,,Φρύγες,,1,1.21f,1.39,,
Aeschylus,Atheniensis,,,Φρύγες,,2,2.51c,2.36,,
Aeschylus,Atheniensis,,,"epigramma quod sepulcro suo inscriptum voluit Aeschylus",,14,14.627c,14.23,,
Aeschylus,Atheniensis,,,"epigramma quod sepulcro suo inscriptum voluit Aeschylus",,14,14.627d,14.23@14.24,,
Aeschylus,Atheniensis,,"Aeschylus tragoedias suas perhibetur ebrius conscribere solitus",,,1,1.22a,1.39,,
Aeschylus,Atheniensis,,"Aeschylus tragoedias suas perhibetur ebrius conscribere solitus",,,10,10.428f,10.33,,
Aeschylus,Atheniensis,,"tragoedias suas aiebat esse reliquias magnarum Homeri coenarum",,,8,8.347e,8.39,,
Aeschylus,Atheniensis,,"victus aliquando dixit posteritati se tragoedias suas consecrare ibid. multis usus est vocabulis Italicis, utpote in Sicilia aliquamdiu versatus",,,9,9.402c,9.65@9.66,,
Aethlius,Samius,,,"Σαμίων ὼροι",,14,14.650d,14.63,,
Aethlius,Samius,,,"Σαμίων ὼροι",,14,14.653f,14.68,,
Agallis,Corcyraea,grammatica,,,,1,1.14d,1.24@1.25,,
Agatharchides,Cnidius,,,Ἀσιατικά,"ἐν ὀγδόῃ Ἀσιατικῶν",4,4.155c,4.42,,
Agatharchides,Cnidius,,,Ἀσιατικά,"ἐν τῷ δεκάτῳ περὶ Ἀσίας",12,12.539b,12.55,,
Agatharchides,Cnidius,,,Εὐρωπιακά,ςʹ,7,7.297a,7.48,,
Agatharchides,Cnidius,,,Εὐρωπιακά,ιςʹ,12,12.550b,12.73@12.74,,
Agatharchides,Cnidius,,,Εὐρωπιακά,κβʹ,6,6.246e,6.49,,
Agatharchides,Cnidius,,,Εὐρωπιακά,κζʹ,12,12.550c,12.74,,
Agatharchides,Cnidius,,,Εὐρωπιακά,κηʹ,4,4.168e,4.66@4.67,,
Agatharchides,Cnidius,,,Εὐρωπιακά,λαʹ,12,12.528a,12.35@12.36,,
Agatharchides,Cnidius,,,Εὐρωπιακά,λδʹ,9,9.387c,9.37@9.38,,
Agatharchides,Cnidius,,,Εὐρωπιακά,λεʹ,12,12.527f,12.35,,
Agatharchides,Cnidius,,,Εὐρωπιακά,ληʹ,6,6.272c,6.103,,
Agatharchides,Cnidius,,,Ἱστορίαι,ιβʹ,12,12.527b,12.33,,
Agatharchides,Cnidius,,,Ἱστορίαι,ληʹ,6,6.251f,6.59,,
Agathocles,Atracius,,,Ἁλιευτικά,,1,1.13c,1.22,,
Agathocles,Babylonius,,,,,1,1.30a,1.54,,
Agathocles,Babylonius,,,,,9,9.375f,9.17@9.18,,
Agathocles,Cyzicenus,,,,,14,14.649f,14.62,,
Agathocles,,,,"περὶ Κυζίκου",αʹ,9,9.375f,9.17@9.18,,
Agathocles,,,,"περὶ Κυζίκου",γʹ,12,12.515a,12.9@12.10,,
Agathocles,,,,"περὶ Κυζίκου",γʹ,14,14.649f,14.62,"ubi Ἀγαθοκλῆς ὁ Κυζικηνὸς ἐν τρίτη τῶν περὶ τῆς πατρίδος",
Agathon,,tragicus,,,,5,5.185a,5.1,,
Agathon,,tragicus,,,,5,5.185b,5.1,,
Agathon,,tragicus,,,,5,5.211e,5.47@5.48,,
Agathon,,tragicus,,,,10,10.445c,10.64,,
Agathon,,tragicus,,,,13,13.584a,13.46,,
Agathon,,tragicus,,"eius isocola et antitheta",,5,5.187b,5.3@5.12,,
Agathon,,tragicus,,Θυέστης,,12,12.528d,12.37,,
Agathon,,tragicus,,Τήλεφος,,10,10.454d,10.80,,
"Agelochus (nunc Amphilochus)",,,,,,2,2.54d,2.43,,
Agias,,"ὁ μουσικός",,,,14,14.626f,14.22@14.23,,
Agias,,,,Ἀργολικά,,3,3.86f,3.32@3.33,,
Agis,,,,Ὀψαρτυτικά,,12,12.516c,12.11@12.12,,
Aglaosthenes,,,,,,3,3.78c,3.14,,
Agnon,,Academicus,,,,13,13.602e,13.79,,
Alcaeus,"ὁ Μυτιληναῖος",ποιητής,,,,1,1.22e,1.41,,
Alcaeus,,"ὁ μελοποιός",,,,7,7.311a,7.86,,
Alcaeus,,,"ebrius sua carmina componere consueverat",,,10,10.429a,10.33,,
Alcaeus,,,"quolibet tempore et quavis occasione bibendum praecipit",,,10,10.430a,10.35,,"range start"
Alcaeus,,,"quolibet tempore et quavis occasione bibendum praecipit",,,10,10.430b,10.35,,range
Alcaeus,,,"quolibet tempore et quavis occasione bibendum praecipit",,,10,10.430c,10.35,,range
Alcaeus,,,"quolibet tempore et quavis occasione bibendum praecipit",,,10,10.430d,10.35@10.36,,"range end"
Alcaeus,,,"quolibet tempore et quavis occasione bibendum praecipit",,,11,11.481a,11.61@11.62,,
Alcaeus,,,,"eius aliquod carmen Οἶνος, ὠ φίλε παῖ, καὶ ἀλήθεια",,2,2.37e,2.5@2.6,,
Alcaeus,,,"in scoliorum genere excelluit",,,15,15.694a,15.49,,
Alcaeus,,,"gloriatur armorum apparatu",,,14,14.627a,14.23,,
Alcaeus,,,"gloriatur armorum apparatu",,,14,14.627b,14.23,,
Alcaeus,,,"Sapphonem deperiisse, et carminum suorum venustate ussisse Anacreontem ait Hermesianax",,,13,13.598b,13.71,,
Alcaeus,,,"Sapphonem deperiisse, et carminum suorum venustate ussisse Anacreontem ait Hermesianax",,,13,13.598c,13.71,,
