"Acesias","","","","Ὀψαρτυτικά","","12","12.516c","",""
"Acestius","","","","Ὀψαρτυτικά","","12","12.516c","",""
"Achaeus","Eretriensis","","","","","1","1.30f","",""
"Achaeus","Eretriensis","","","","","2","2.63b","",""
"Achaeus","Eretriensis","","","","","6","6.270e","",""
"Achaeus","Eretriensis","","","","","10","10.414e","",""
"Achaeus","Eretriensis","","","","","11","11.480f","",""
"Achaeus","Eretriensis","ὁ τραγικός","","","","11","11.466e","",""
"Achaeus","Eretriensis","","","Ἆθλοι","","10","10.417f","",""
"Achaeus","Eretriensis","","","Ἆθλοι","","15","15.689b","",""
"Achaeus","Eretriensis","","","Αἴθων σατυρικός","","6","6.270c","",""
"Achaeus","Eretriensis","","","Αἴθων σατυρικός","","9","9.368a","",""
"Achaeus","Eretriensis","","","Αἴθων σατυρικός","","9","9.376a","",""
"Achaeus","Eretriensis","","","Αἴθων σατυρικός","","10","10.427c","",""
"Achaeus","Eretriensis","","","Αἴθων σατυρικός","","15","15.690b","",""
"Achaeus","Eretriensis","","","Ἀλκμαίων ὁ σατυρικός","","4","4.173d","",""
"Achaeus","Eretriensis","","","Ἀλκμαίων ὁ σατυρικός","","4","4.173e","",""
"Achaeus","Eretriensis","","","Ἀλκμαίων ὁ σατυρικός","","11","11.480f","",""
"Achaeus","Eretriensis","","","Ἥφαιστος σατυρικός","","14","14.637c","",""
"Achaeus","Eretriensis","","","Ἰρις σατυρική","","10","10.451c","",""
"Achaeus","Eretriensis","","","Κύκνος","","6","6.270e","",""
"Achaeus","Eretriensis","","","Λίνος","","15","15.668a","",""
"Achaeus","Eretriensis","","","Μοῖραι","","7","7.277b","",""
"Achaeus","Eretriensis","","","Ὀμφάλη","","6","6.267d","",""
"Achaeus","Eretriensis","","","Ὀμφάλη","","11","11.466e","","range start"
"Achaeus","Eretriensis","","","Ὀμφάλη","","11","11.466f","","range end"
"Achaeus","Eretriensis","","","Ὀμφάλη","","11","11.498d","",""
"Adaeus","Mytilenaeus","","","","","13","13.606a","",""
"Adaeus","Mytilenaeus","","","περὶ διαθέσεως","","11","11.471f","",""
"Adaeus","Mytilenaeus","","","περὶ ἀγαλματοποιῶν","","13","13.606a","",""
"Adrantus","","","","περὶ τῶν παρὰ Θεοφράστῳ ἐν τοῖς περὶ ἠθῶν καθ’ ἱστορίαν καὶ λέξιν ζητουμένων","","15","15.673e","",""
"Adrantus","","","","περὶ τῶν ἐν τοῖς Ἠθικοῖς Νικομαχείοις Ἀριστοτέλους","","15","15.673e","","range start"
"Adrantus","","","","περὶ τῶν ἐν τοῖς Ἠθικοῖς Νικομαχείοις Ἀριστοτέλους","","15","15.673f","","range end"
"Aegimius","","","","Πλακουντοποιικὰ συγγράμματα","","14","14.644e","",""
"Aelius Asclepiades","","","","Στέφανοι","","15","15.676f","679b",""
"Aeschines","","orator","ὁ Κοθωκίδης ῥήτωρ","","","6","6.223d","",""
"Aeschines","","orator","","κατὰ Τιμάρχου λόγος","","8","8.339b","",""
"Aeschines","","orator","","κατὰ Τιμάρχου λόγος","","13","13.572c","",""
"Aeschines","","Socraticus","","eius dialogi","","13","13.611d","",""
"Aeschines","","Socraticus","","Ἀλκιβιάδης","","14","14.656f","",""
"Aeschines","","Socraticus","","Ἀξίοχος","","5","5.220c","",""
"Aeschines","","Socraticus","","Ἀσπασία","","5","5.220b","",""
"Aeschines","","Socraticus","","Καλλίας","","5","5.220b","",""
"Aeschines","","Socraticus","","Τηλαύγης","","5","5.220a","",""
"Aeschrio","Samius","","","Ἴαμβοι","","7","7.296c","",""
"Aeschrio","Samius","","","Ἴαμβοι","","8","8.335c","",""
"Aeschylides","","","","Γεωργικά","","14","14.650d","",""
"Aeschylus","Alexandrinus","","","Ἀμφιτρύων","","13","13.599e","",""
"Aeschylus","Alexandrinus","","","Μεσσηνιακὰ ἔπη","","13","13.599e","",""
"Aeschylus","Atheniensis","tragicus","","","","1","1.11d","",""
"Aeschylus","Atheniensis","tragicus","","","","1","1.17c","",""
"Aeschylus","Atheniensis","tragicus","","","","1","1.21f","",""
"Aeschylus","Atheniensis","tragicus","","","","2","2.37f","",""
"Aeschylus","Atheniensis","tragicus","","","","2","2.67f","II c. 87 p. 130 ed. nostrae",""
"Aeschylus","Atheniensis","tragicus","","","","8","8.362f","",""
"Aeschylus","Atheniensis","tragicus","","","","9","9.375d","",""
"Aeschylus","Atheniensis","tragicus","","","","9","9.375e","",""
"Aeschylus","Atheniensis","tragicus","","","","11","11.782e","",""
"Aeschylus","Atheniensis","tragicus","","","","11","11.491a","",""
"Aeschylus","Atheniensis","tragicus","","","","12","12.528c","",""
"Aeschylus","Atheniensis","tragicus","","","","13","13.573b","",""
"Aeschylus","Atheniensis","tragicus","","","","13","13.601b","",""
"Aeschylus","Atheniensis","","","Ἀγαμέμνων","","15","15.700e","",""
"Aeschylus","Atheniensis","","","Ἀθάμας","","7","7.316b","",""
"Aeschylus","Atheniensis","","","Ἀμυμώνη","","15","15.690c","",""
"Aeschylus","Atheniensis","","","Γλαῦκος πόντιος","","3","3.87a","",""
"Aeschylus","Atheniensis","","","Δαναΐδες","","13","13.600a","",""
"Aeschylus","Atheniensis","","","Ἑπτὰ ἐπὶ Θήβαις","","1","1.22a","ubi Θήβας",""
"Aeschylus","Atheniensis","","","Ἑπτὰ ἐπὶ Θήβαις","","7","7.294a","",""
"Aeschylus","Atheniensis","","","Ἑπτὰ ἐπὶ Θήβαις","","7","7.295e","",""
"Aeschylus","Atheniensis","","","Ἠδωνοί","","11","11.479b","",""
"Aeschylus","Atheniensis","","","Ἡλιάδες","","10","10.424d","",""
"Aeschylus","Atheniensis","","","Ἡλιάδες","","11","11.469f","",""
"Aeschylus","Atheniensis","","","Θεωροί","","14","14.629f","",""
"Aeschylus","Atheniensis","","","Ἰξίων","","4","4.177a","",""
"Aeschylus","Atheniensis","","","Ἰξίων","","4","4.182c","",""
"Aeschylus","Atheniensis","","","Κάβειροι","","9","9.373d","",""
"Aeschylus","Atheniensis","","","Κάβειροι","","10","10.428f","",""
"Aeschylus","Atheniensis","","","Κρῆσσαι","","2","2.51c","",""
"Aeschylus","Atheniensis","","","Λυκοῦργος","","10","10.447c","",""
"Aeschylus","Atheniensis","","","Μυρμιδόνες","","13","13.602e","",""
"Aeschylus","Atheniensis","","","Νεανίσκοι","","11","11.503c","",""
"Aeschylus","Atheniensis","","","Νεανίσκοι","","11","11.503d","",""
"Aeschylus","Atheniensis","","","Ὀστολόγοι","","15","15.667c","",""
"Aeschylus","Atheniensis","","","Περραιβίδες","","11","11.476c","",""
"Aeschylus","Atheniensis","","","Περραιβίδες","","11","11.499a","",""
"Aeschylus","Atheniensis","","","Πέρσαι","","3","3.86b","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς δεσμώτης","","4","4.165c","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς δεσμώτης","","8","8.347c","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς λυόμενος","","15","15.674d","",""
"Aeschylus","Atheniensis","","","Πρωτεὺς τραγικός","","9","9.394a","",""
"Aeschylus","Atheniensis","","","Σφίγξ","","15","15.674d","",""
"Aeschylus","Atheniensis","","","Φιλοκτήτης","","9","9.394a","",""
