Name,Identifier,Sub_Identifier,Prosopographical_Reference,Prosopographical_Reference_id,Work,Edition,Edition_id,Passage,Book,Casaubon_Reference,Kaibel_Reference,Is_Range,Note_Reference
"Abrotonon of Thrace","mother of Themistocles",,PAA,101398,,,,,13,13.576c,13.37,,
Academus,"addressee of Theognis",,,,,,,,7,7.310b,7.85,,
"Acesas of Cyprus",weaver,,,,,,,,2,2.48b,2.30,,
Acesias,"cookbook author",,,,,,,,12,12.516c,12.11@12.12,,
Acestor,"tragic poet",,PAA,116685,,TrGF,25,,6,6.237a,6.30@6.31,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F *4",10,10.414c,10.6,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F *4",10,10.414d,10.6@10.7,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 10",15,15.690b,15.41,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 12",4,4.173d,4.74,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 13",4,4.173d,4.74,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 14",11,11.480f,11.61,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 17",14,14.641d,14.48,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 19",10,10.451c,10.74,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 19",10,10.451d,10.74,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 25",6,6.270e,6.99@6.100,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 26",15,15.668a,15.6,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 26",15,15.668b,15.6,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 27",7,7.277b,7.5,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 32",6,6.267d,6.93,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 33.1",11,11.498d,11.99,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 33.1",11,11.498e,11.99,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 33",11,11.466e,11.30,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 33",11,11.466f,11.30,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 3",10,10.417f,10.11,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 3",10,10.418a,10.11,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 41",1,1.30f,1.56,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 41",1,1.31a,1.56,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 42",2,2.63b,2.63,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 5a",10,10.416b,10.9,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 5",15,15.689b,15.38@15.39,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 6",6,6.270c,6.99,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 7",9,9.368a,9.5,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 8",9,9.376a,9.18,"range start",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 8",9,9.376b,9.18,"range end",
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"F 9",10,10.427c,10.29@10.30,,
"Achaeus of Eretria","tragic poet",,,,,TrGF,20,"T 7",10,10.451c,10.74,,
Achilleus,"Homeric hero",,,,,,,,1,1.10c,1.17,,
Achilleus,"Homeric hero",,,,,,,,1,1.11a,1.18,,
Achilleus,"Homeric hero",,,,,,,,1,1.11b,1.18@1.19,,
Achilleus,"Homeric hero",,,,,,,,1,1.12b,1.20,"range start",
Achilleus,"Homeric hero",,,,,,,,1,1.12c,1.20@1.21,"range end",
Achilleus,"Homeric hero",,,,,,,,1,1.14a,1.23@1.24,,
Achilleus,"Homeric hero",,,,,,,,1,1.17e,1.30,,
Achilleus,"Homeric hero",,,,,,,,1,1.23e,1.42@1.43,"range start",
Achilleus,"Homeric hero",,,,,,,,1,1.23f,1.43,"range end",
Achilleus,"Homeric hero",,,,,,,,10,10.433b,10.41@10.42,,
Achilleus,"Homeric hero",,,,,,,,10,10.433d,10.42,,
Achilleus,"Homeric hero",,,,,,,,11,11.781c,11.15@11.16,,
Achilleus,"Homeric hero",,,,,,,,11,11.783b,11.24,,
Achilleus,"Homeric hero",,,,,,,,13,13.560b,13.10,,
Achilleus,"Homeric hero",,,,,,,,13,13.601b,13.75@13.76,,
Achilleus,"Homeric hero",,,,,,,,14,14.624a,14.18,,
Achilleus,"Homeric hero",,,,,,,,14,14.627f,14.24,,
Achilleus,"Homeric hero",,,,,,,,14,14.633c,14.33,,
Achilleus,"Homeric hero",,,,,,,,15,15.695b,15.50,,
Achilleus,"Homeric hero",,,,,,,,15,15.695c,15.50,,
Achilleus,"Homeric hero",,,,,,,,15,15.696c,15.51,,
Achilleus,"Homeric hero",,,,,,,,2,2.43d,2.18@2.19,"range start","with note"
Achilleus,"Homeric hero",,,,,,,,2,2.43e,2.19,"range end","with note"
Achilleus,"Homeric hero",,,,,,,,5,5.179c,5.7,,
Achilleus,"Homeric hero",,,,,,,,5,5.193a,5.20,,
Achilleus,"Homeric hero",,,,,,,,6,6.223a,6.1,,note
Achilleus,"Homeric hero",,,,,,,,6,6.223c,6.2,,note
Achilleus,"Homeric hero",,,,,,,,6,6.226f,6.10,,note
Achilleus,"Homeric hero",,,,,,,,6,6.232d,6.21@6.22,,
Acontius,"love-object in Callimachus",,,,,,,,15,15.668b,15.6,,
Acrisius,"king of Argos and father of Danae",,,,,,,,11,11.466b,11.15,,
Acrisius,"king of Argos and father of Danae",,,,,,,,8,8.345a,8.34,,
Acrotatus,"king of Sparta",,Bradford,"p. 22",,,,,4,4.142b,4.20@4.21,,
Actaeon,"prince of Thebes torn apart by his own dogs",,,,,,,,1,1.1d,1.2,,
